,2018-2019,Graduated,Rate(%)
BSN,316,284.0,89.87
BS ARCH,155,2.0,1.29
BS CRIM,154,128.0,83.12
BS BIO,143,99.0,69.23
BEED,125,106.0,84.8
AB POLSCI,119,81.0,68.07
BSCS,108,47.0,43.52
DAL,99,2.0,2.02
BSIT,98,55.0,56.12
BS CE,97,22.0,22.68
BAHISTORY,91,45.0,49.45
AB ENG,88,59.0,67.05
BPE,84,66.0,78.57
BS ME,77,30.0,38.96
BSSW,75,53.0,70.67
BS CD,73,52.0,71.23
BSED,68,58.0,85.29
BS ABE,65,8.0,12.31
BPED,65,16.0,24.62
BCAE,63,10.0,15.87
BS EE,55,24.0,43.64
BSHM,50,28.0,56.0
AB FIL,46,35.0,76.09
BS ND,45,26.0,57.78
BSNE,41,39.0,95.12
BS ACCTNG,38,26.0,68.42
ABMC-BROAD,36,21.0,58.33
BS CHEM,35,16.0,45.71
AB AS,35,18.0,51.43
BS HE,34,21.0,61.76
AB IS,34,8.0,23.53
AB JOURN,32,19.0,59.38
BS SE,30,10.0,33.33
BS MATH,30,13.0,43.33
BS COE,30,13.0,43.33
BS STAT,30,22.0,73.33
BSIE,30,6.0,20.0
BS GE,27,14.0,51.85
BS AGRI,26,18.0,69.23
BS ENE,25,21.0,84.0
BS ECE,24,15.0,62.5
BS F,23,19.0,82.61
ABMC-JOURN,20,10.0,50.0
BS PHYSICS,20,11.0,55.0
BSED SS,14,14.0,100.0
BS FT,14,1.0,7.14
BSED VEDUC,12,12.0,100.0
BA ELS,10,6.0,60.0
BS ES,10,5.0,50.0
BS AGRO,8,8.0,100.0
BS AGRIBUS,8,5.0,62.5
BS IME,7,1.0,14.29
BAT,6,4.0,66.67
BECE,4,2.0,50.0
BSAB,3,2.0,66.67
BSAT,1,1.0,100.0
BSEED,1,1.0,100.0
BS HRM,1,1.0,100.0
BA JOURN,1,1.0,100.0
